,Symbol,Market,TradingTime,OP,HIP,LOP,CP
0,000010,SZSE,2017-07-03 09:30:00.000,5.06,5.06,5.06,5.06
1,000010,SZSE,2017-07-03 09:35:00.000,5.06,5.06,5.03,5.05
2,000010,SZSE,2017-07-03 09:40:00.000,5.05,5.06,5.04,5.05
3,000010,SZSE,2017-07-03 09:45:00.000,5.06,5.06,5.05,5.05
4,000010,SZSE,2017-07-03 09:50:00.000,5.06,5.06,5.03,5.03
5,000010,SZSE,2017-07-03 09:55:00.000,5.04,5.06,5.03,5.05
6,000010,SZSE,2017-07-03 10:00:00.000,5.06,5.06,5.05,5.05
7,000010,SZSE,2017-07-03 10:05:00.000,5.06,5.06,5.05,5.06
8,000010,SZSE,2017-07-03 10:10:00.000,5.06,5.06,5.04,5.04
9,000010,SZSE,2017-07-03 10:15:00.000,5.05,5.05,5.04,5.05
10,000010,SZSE,2017-07-03 10:20:00.000,5.05,5.06,5.04,5.06
11,000010,SZSE,2017-07-03 10:25:00.000,5.06,5.06,5.05,5.06
12,000010,SZSE,2017-07-03 10:30:00.000,5.05,5.07,5.05,5.07
13,000010,SZSE,2017-07-03 10:35:00.000,5.07,5.07,5.06,5.06
14,000010,SZSE,2017-07-03 10:40:00.000,5.06,5.07,5.05,5.06
15,000010,SZSE,2017-07-03 10:45:00.000,5.06,5.07,5.05,5.05
16,000010,SZSE,2017-07-03 10:50:00.000,5.06,5.06,5.05,5.05
17,000010,SZSE,2017-07-03 10:55:00.000,5.06,5.06,5.05,5.06
18,000010,SZSE,2017-07-03 11:00:00.000,5.06,5.07,5.06,5.07
19,000010,SZSE,2017-07-03 11:05:00.000,5.07,5.07,5.06,5.07
20,000010,SZSE,2017-07-03 11:10:00.000,5.07,5.08,5.07,5.08
21,000010,SZSE,2017-07-03 11:15:00.000,5.07,5.09,5.07,5.09
22,000010,SZSE,2017-07-03 11:20:00.000,5.08,5.09,5.08,5.09
23,000010,SZSE,2017-07-03 11:25:00.000,5.09,5.09,5.08,5.08
24,000010,SZSE,2017-07-03 11:30:00.000,5.09,5.09,5.07,5.08
25,000010,SZSE,2017-07-03 13:05:00.000,5.09,5.1,5.09,5.1
26,000010,SZSE,2017-07-03 13:10:00.000,5.1,5.1,5.09,5.09
27,000010,SZSE,2017-07-03 13:15:00.000,5.09,5.09,5.08,5.08
28,000010,SZSE,2017-07-03 13:20:00.000,5.09,5.09,5.08,5.09
29,000010,SZSE,2017-07-03 13:25:00.000,5.09,5.1,5.08,5.09
30,000010,SZSE,2017-07-03 13:30:00.000,5.09,5.09,5.08,5.08
31,000010,SZSE,2017-07-03 13:35:00.000,5.09,5.1,5.08,5.08
32,000010,SZSE,2017-07-03 13:40:00.000,5.09,5.1,5.08,5.08
33,000010,SZSE,2017-07-03 13:45:00.000,5.09,5.09,5.07,5.08
34,000010,SZSE,2017-07-03 13:50:00.000,5.09,5.09,5.08,5.09
35,000010,SZSE,2017-07-03 13:55:00.000,5.09,5.09,5.08,5.08
36,000010,SZSE,2017-07-03 14:00:00.000,5.09,5.1,5.08,5.1
37,000010,SZSE,2017-07-03 14:05:00.000,5.1,5.1,5.08,5.09
38,000010,SZSE,2017-07-03 14:10:00.000,5.09,5.09,5.08,5.09
39,000010,SZSE,2017-07-03 14:15:00.000,5.09,5.09,5.08,5.09
40,000010,SZSE,2017-07-03 14:20:00.000,5.09,5.1,5.08,5.09
41,000010,SZSE,2017-07-03 14:25:00.000,5.1,5.1,5.08,5.09
42,000010,SZSE,2017-07-03 14:30:00.000,5.1,5.1,5.09,5.09
43,000010,SZSE,2017-07-03 14:35:00.000,5.1,5.11,5.09,5.11
44,000010,SZSE,2017-07-03 14:40:00.000,5.1,5.11,5.09,5.1
45,000010,SZSE,2017-07-03 14:45:00.000,5.1,5.11,5.1,5.11
46,000010,SZSE,2017-07-03 14:50:00.000,5.11,5.11,5.1,5.11
47,000010,SZSE,2017-07-03 14:55:00.000,5.11,5.12,5.1,5.11
48,000010,SZSE,2017-07-03 15:00:00.000,5.12,5.12,5.11,5.11
49,000010,SZSE,2017-07-04 09:30:00.000,5.11,5.11,5.11,5.11
50,000010,SZSE,2017-07-04 09:35:00.000,5.14,5.14,5.11,5.12
51,000010,SZSE,2017-07-04 09:40:00.000,5.11,5.12,5.1,5.12
52,000010,SZSE,2017-07-04 09:45:00.000,5.11,5.12,5.1,5.11
53,000010,SZSE,2017-07-04 09:50:00.000,5.11,5.11,5.1,5.1
54,000010,SZSE,2017-07-04 09:55:00.000,5.11,5.11,5.1,5.11
55,000010,SZSE,2017-07-04 10:00:00.000,5.11,5.12,5.1,5.12
56,000010,SZSE,2017-07-04 10:05:00.000,5.11,5.12,5.1,5.11
57,000010,SZSE,2017-07-04 10:10:00.000,5.12,5.12,5.1,5.12
58,000010,SZSE,2017-07-04 10:15:00.000,5.11,5.13,5.11,5.13
59,000010,SZSE,2017-07-04 10:20:00.000,5.13,5.13,5.11,5.11
60,000010,SZSE,2017-07-04 10:25:00.000,5.12,5.12,5.1,5.11
61,000010,SZSE,2017-07-04 10:30:00.000,5.1,5.11,5.1,5.1
62,000010,SZSE,2017-07-04 10:35:00.000,5.11,5.11,5.1,5.11
63,000010,SZSE,2017-07-04 10:40:00.000,5.11,5.11,5.1,5.11
64,000010,SZSE,2017-07-04 10:45:00.000,5.1,5.11,5.1,5.11
65,000010,SZSE,2017-07-04 10:50:00.000,5.1,5.1,5.09,5.1
66,000010,SZSE,2017-07-04 10:55:00.000,5.1,5.1,5.09,5.1
67,000010,SZSE,2017-07-04 11:00:00.000,5.1,5.1,5.09,5.1
68,000010,SZSE,2017-07-04 11:05:00.000,5.1,5.11,5.09,5.09
69,000010,SZSE,2017-07-04 11:10:00.000,5.09,5.11,5.09,5.1
70,000010,SZSE,2017-07-04 11:15:00.000,5.09,5.1,5.08,5.09
71,000010,SZSE,2017-07-04 11:20:00.000,5.09,5.11,5.08,5.1
72,000010,SZSE,2017-07-04 11:25:00.000,5.11,5.12,5.1,5.12
73,000010,SZSE,2017-07-04 11:30:00.000,5.11,5.12,5.09,5.1
74,000010,SZSE,2017-07-04 13:05:00.000,5.1,5.11,5.1,5.11
75,000010,SZSE,2017-07-04 13:10:00.000,5.11,5.11,5.1,5.1
76,000010,SZSE,2017-07-04 13:15:00.000,5.11,5.11,5.09,5.09
77,000010,SZSE,2017-07-04 13:20:00.000,5.1,5.1,5.09,5.09
78,000010,SZSE,2017-07-04 13:25:00.000,5.09,5.1,5.08,5.1
79,000010,SZSE,2017-07-04 13:30:00.000,5.1,5.1,5.09,5.09
80,000010,SZSE,2017-07-04 13:35:00.000,5.1,5.1,5.09,5.09
81,000010,SZSE,2017-07-04 13:40:00.000,5.1,5.1,5.09,5.09
82,000010,SZSE,2017-07-04 13:45:00.000,5.09,5.1,5.09,5.1
83,000010,SZSE,2017-07-04 13:50:00.000,5.1,5.1,5.09,5.1
84,000010,SZSE,2017-07-04 13:55:00.000,5.1,5.1,5.09,5.1
85,000010,SZSE,2017-07-04 14:00:00.000,5.1,5.1,5.09,5.1
86,000010,SZSE,2017-07-04 14:05:00.000,5.1,5.1,5.09,5.09
87,000010,SZSE,2017-07-04 14:10:00.000,5.1,5.1,5.08,5.08
88,000010,SZSE,2017-07-04 14:15:00.000,5.09,5.1,5.08,5.09
89,000010,SZSE,2017-07-04 14:20:00.000,5.08,5.09,5.08,5.08
90,000010,SZSE,2017-07-04 14:25:00.000,5.08,5.09,5.07,5.07
91,000010,SZSE,2017-07-04 14:30:00.000,5.08,5.09,5.07,5.09
92,000010,SZSE,2017-07-04 14:35:00.000,5.09,5.1,5.08,5.09
93,000010,SZSE,2017-07-04 14:40:00.000,5.09,5.1,5.08,5.1
94,000010,SZSE,2017-07-04 14:45:00.000,5.09,5.1,5.08,5.1
95,000010,SZSE,2017-07-04 14:50:00.000,5.1,5.1,5.08,5.09
96,000010,SZSE,2017-07-04 14:55:00.000,5.09,5.1,5.08,5.1
97,000010,SZSE,2017-07-04 15:00:00.000,5.09,5.1,5.08,5.09
98,000010,SZSE,2017-07-05 09:30:00.000,5.1,5.1,5.1,5.1
99,000010,SZSE,2017-07-05 09:35:00.000,5.11,5.11,5.07,5.09
100,000010,SZSE,2017-07-05 09:40:00.000,5.09,5.09,5.08,5.09
101,000010,SZSE,2017-07-05 09:45:00.000,5.09,5.11,5.08,5.11
102,000010,SZSE,2017-07-05 09:50:00.000,5.11,5.11,5.09,5.09
103,000010,SZSE,2017-07-05 09:55:00.000,5.1,5.11,5.09,5.1
104,000010,SZSE,2017-07-05 10:00:00.000,5.1,5.1,5.08,5.1
105,000010,SZSE,2017-07-05 10:05:00.000,5.09,5.1,5.08,5.09
106,000010,SZSE,2017-07-05 10:10:00.000,5.08,5.09,5.08,5.09
107,000010,SZSE,2017-07-05 10:15:00.000,5.09,5.12,5.08,5.11
108,000010,SZSE,2017-07-05 10:20:00.000,5.12,5.17,5.12,5.15
109,000010,SZSE,2017-07-05 10:25:00.000,5.16,5.16,5.14,5.14
110,000010,SZSE,2017-07-05 10:30:00.000,5.15,5.15,5.14,5.15
111,000010,SZSE,2017-07-05 10:35:00.000,5.15,5.15,5.14,5.15
112,000010,SZSE,2017-07-05 10:40:00.000,5.15,5.16,5.14,5.16
113,000010,SZSE,2017-07-05 10:45:00.000,5.16,5.17,5.15,5.16
114,000010,SZSE,2017-07-05 10:50:00.000,5.15,5.16,5.14,5.15
115,000010,SZSE,2017-07-05 10:55:00.000,5.15,5.17,5.15,5.15
116,000010,SZSE,2017-07-05 11:00:00.000,5.16,5.16,5.15,5.16
117,000010,SZSE,2017-07-05 11:05:00.000,5.15,5.18,5.15,5.17
118,000010,SZSE,2017-07-05 11:10:00.000,5.17,5.17,5.16,5.16
119,000010,SZSE,2017-07-05 11:15:00.000,5.16,5.17,5.14,5.14
120,000010,SZSE,2017-07-05 11:20:00.000,5.15,5.16,5.15,5.16
121,000010,SZSE,2017-07-05 11:25:00.000,5.16,5.16,5.15,5.15
122,000010,SZSE,2017-07-05 11:30:00.000,5.15,5.16,5.15,5.15
123,000010,SZSE,2017-07-05 13:05:00.000,5.15,5.16,5.14,5.15
124,000010,SZSE,2017-07-05 13:10:00.000,5.15,5.16,5.15,5.16
125,000010,SZSE,2017-07-05 13:15:00.000,5.16,5.16,5.14,5.15
126,000010,SZSE,2017-07-05 13:20:00.000,5.15,5.16,5.14,5.14
127,000010,SZSE,2017-07-05 13:25:00.000,5.14,5.15,5.14,5.15
128,000010,SZSE,2017-07-05 13:30:00.000,5.15,5.15,5.13,5.13
129,000010,SZSE,2017-07-05 13:35:00.000,5.13,5.14,5.12,5.14
130,000010,SZSE,2017-07-05 13:40:00.000,5.13,5.15,5.13,5.14
131,000010,SZSE,2017-07-05 13:45:00.000,5.15,5.15,5.14,5.14
132,000010,SZSE,2017-07-05 13:50:00.000,5.15,5.15,5.14,5.14
133,000010,SZSE,2017-07-05 13:55:00.000,5.15,5.15,5.14,5.15
134,000010,SZSE,2017-07-05 14:00:00.000,5.15,5.15,5.14,5.14
135,000010,SZSE,2017-07-05 14:05:00.000,5.15,5.15,5.14,5.15
136,000010,SZSE,2017-07-05 14:10:00.000,5.15,5.15,5.14,5.14
137,000010,SZSE,2017-07-05 14:15:00.000,5.14,5.15,5.14,5.14
138,000010,SZSE,2017-07-05 14:20:00.000,5.14,5.15,5.14,5.15
139,000010,SZSE,2017-07-05 14:25:00.000,5.14,5.16,5.14,5.16
140,000010,SZSE,2017-07-05 14:30:00.000,5.16,5.16,5.15,5.16
141,000010,SZSE,2017-07-05 14:35:00.000,5.16,5.16,5.15,5.15
142,000010,SZSE,2017-07-05 14:40:00.000,5.15,5.17,5.15,5.17
143,000010,SZSE,2017-07-05 14:45:00.000,5.17,5.17,5.15,5.16
144,000010,SZSE,2017-07-05 14:50:00.000,5.16,5.16,5.15,5.16
145,000010,SZSE,2017-07-05 14:55:00.000,5.15,5.16,5.15,5.15
146,000010,SZSE,2017-07-05 15:00:00.000,5.15,5.16,5.15,5.15
147,000010,SZSE,2017-07-06 09:30:00.000,5.15,5.15,5.15,5.15
148,000010,SZSE,2017-07-06 09:35:00.000,5.16,5.16,5.14,5.14
149,000010,SZSE,2017-07-06 09:40:00.000,5.14,5.15,5.14,5.14
150,000010,SZSE,2017-07-06 09:45:00.000,5.14,5.17,5.14,5.16
151,000010,SZSE,2017-07-06 09:50:00.000,5.17,5.17,5.15,5.17
152,000010,SZSE,2017-07-06 09:55:00.000,5.16,5.17,5.16,5.17
153,000010,SZSE,2017-07-06 10:00:00.000,5.17,5.18,5.16,5.17
154,000010,SZSE,2017-07-06 10:05:00.000,5.17,5.17,5.16,5.17
155,000010,SZSE,2017-07-06 10:10:00.000,5.16,5.17,5.16,5.17
156,000010,SZSE,2017-07-06 10:15:00.000,5.16,5.17,5.16,5.17
157,000010,SZSE,2017-07-06 10:20:00.000,5.16,5.19,5.16,5.18
158,000010,SZSE,2017-07-06 10:25:00.000,5.18,5.19,5.17,5.18
159,000010,SZSE,2017-07-06 10:30:00.000,5.17,5.18,5.17,5.18
160,000010,SZSE,2017-07-06 10:35:00.000,5.17,5.18,5.17,5.17
161,000010,SZSE,2017-07-06 10:40:00.000,5.17,5.18,5.17,5.17
162,000010,SZSE,2017-07-06 10:45:00.000,5.17,5.18,5.16,5.16
163,000010,SZSE,2017-07-06 10:50:00.000,5.16,5.18,5.16,5.18
164,000010,SZSE,2017-07-06 10:55:00.000,5.17,5.18,5.16,5.16
165,000010,SZSE,2017-07-06 11:00:00.000,5.16,5.18,5.16,5.18
166,000010,SZSE,2017-07-06 11:05:00.000,5.17,5.18,5.17,5.17
167,000010,SZSE,2017-07-06 11:10:00.000,5.17,5.18,5.17,5.17
168,000010,SZSE,2017-07-06 11:15:00.000,5.17,5.18,5.16,5.17
169,000010,SZSE,2017-07-06 11:20:00.000,5.16,5.17,5.16,5.16
170,000010,SZSE,2017-07-06 11:25:00.000,5.16,5.18,5.16,5.16
171,000010,SZSE,2017-07-06 11:30:00.000,5.16,5.16,5.14,5.14
172,000010,SZSE,2017-07-06 13:05:00.000,5.14,5.14,5.11,5.12
173,000010,SZSE,2017-07-06 13:10:00.000,5.12,5.12,5.09,5.1
174,000010,SZSE,2017-07-06 13:15:00.000,5.11,5.12,5.1,5.12
175,000010,SZSE,2017-07-06 13:20:00.000,5.11,5.12,5.1,5.12
176,000010,SZSE,2017-07-06 13:25:00.000,5.11,5.12,5.11,5.12
177,000010,SZSE,2017-07-06 13:30:00.000,5.12,5.13,5.11,5.12
178,000010,SZSE,2017-07-06 13:35:00.000,5.12,5.14,5.12,5.12
179,000010,SZSE,2017-07-06 13:40:00.000,5.12,5.13,5.12,5.12
180,000010,SZSE,2017-07-06 13:45:00.000,5.12,5.13,5.11,5.11
181,000010,SZSE,2017-07-06 13:50:00.000,5.11,5.12,5.1,5.12
182,000010,SZSE,2017-07-06 13:55:00.000,5.11,5.13,5.11,5.12
183,000010,SZSE,2017-07-06 14:00:00.000,5.12,5.13,5.12,5.12
184,000010,SZSE,2017-07-06 14:05:00.000,5.12,5.14,5.12,5.13
185,000010,SZSE,2017-07-06 14:10:00.000,5.13,5.14,5.13,5.13
186,000010,SZSE,2017-07-06 14:15:00.000,5.13,5.14,5.13,5.14
187,000010,SZSE,2017-07-06 14:20:00.000,5.14,5.14,5.13,5.13
188,000010,SZSE,2017-07-06 14:25:00.000,5.13,5.14,5.13,5.13
189,000010,SZSE,2017-07-06 14:30:00.000,5.13,5.14,5.13,5.14
190,000010,SZSE,2017-07-06 14:35:00.000,5.14,5.15,5.13,5.14
191,000010,SZSE,2017-07-06 14:40:00.000,5.13,5.15,5.13,5.14
192,000010,SZSE,2017-07-06 14:45:00.000,5.14,5.15,5.13,5.14
193,000010,SZSE,2017-07-06 14:50:00.000,5.14,5.15,5.14,5.14
194,000010,SZSE,2017-07-06 14:55:00.000,5.14,5.15,5.13,5.13
195,000010,SZSE,2017-07-06 15:00:00.000,5.14,5.14,5.13,5.14
196,000010,SZSE,2017-07-07 09:30:00.000,5.24,5.24,5.24,5.24
197,000010,SZSE,2017-07-07 09:35:00.000,5.25,5.29,5.25,5.27
198,000010,SZSE,2017-07-07 09:40:00.000,5.27,5.34,5.26,5.34
199,000010,SZSE,2017-07-07 09:45:00.000,5.33,5.35,5.31,5.35
200,000010,SZSE,2017-07-07 09:50:00.000,5.35,5.37,5.34,5.34
201,000010,SZSE,2017-07-07 09:55:00.000,5.35,5.35,5.31,5.31
202,000010,SZSE,2017-07-07 10:00:00.000,5.31,5.33,5.3,5.3
203,000010,SZSE,2017-07-07 10:05:00.000,5.3,5.31,5.27,5.29
204,000010,SZSE,2017-07-07 10:10:00.000,5.28,5.31,5.28,5.31
205,000010,SZSE,2017-07-07 10:15:00.000,5.3,5.31,5.29,5.3
206,000010,SZSE,2017-07-07 10:20:00.000,5.29,5.3,5.28,5.28
207,000010,SZSE,2017-07-07 10:25:00.000,5.28,5.29,5.27,5.29
208,000010,SZSE,2017-07-07 10:30:00.000,5.28,5.31,5.28,5.3
209,000010,SZSE,2017-07-07 10:35:00.000,5.3,5.31,5.29,5.29
210,000010,SZSE,2017-07-07 10:40:00.000,5.3,5.3,5.28,5.3
211,000010,SZSE,2017-07-07 10:45:00.000,5.3,5.31,5.29,5.3
212,000010,SZSE,2017-07-07 10:50:00.000,5.3,5.31,5.29,5.29
213,000010,SZSE,2017-07-07 10:55:00.000,5.29,5.3,5.28,5.28
214,000010,SZSE,2017-07-07 11:00:00.000,5.29,5.3,5.28,5.3
215,000010,SZSE,2017-07-07 11:05:00.000,5.29,5.3,5.29,5.3
216,000010,SZSE,2017-07-07 11:10:00.000,5.29,5.3,5.29,5.3
217,000010,SZSE,2017-07-07 11:15:00.000,5.29,5.3,5.29,5.3
218,000010,SZSE,2017-07-07 11:20:00.000,5.3,5.3,5.29,5.3
219,000010,SZSE,2017-07-07 11:25:00.000,5.3,5.3,5.29,5.3
220,000010,SZSE,2017-07-07 11:30:00.000,5.3,5.3,5.29,5.3
221,000010,SZSE,2017-07-07 13:05:00.000,5.31,5.31,5.3,5.3
222,000010,SZSE,2017-07-07 13:10:00.000,5.31,5.31,5.3,5.31
223,000010,SZSE,2017-07-07 13:15:00.000,5.3,5.31,5.3,5.3
224,000010,SZSE,2017-07-07 13:20:00.000,5.3,5.31,5.3,5.31
225,000010,SZSE,2017-07-07 13:25:00.000,5.31,5.31,5.3,5.31
226,000010,SZSE,2017-07-07 13:30:00.000,5.3,5.31,5.3,5.31
227,000010,SZSE,2017-07-07 13:35:00.000,5.3,5.31,5.3,5.31
228,000010,SZSE,2017-07-07 13:40:00.000,5.3,5.31,5.28,5.28
229,000010,SZSE,2017-07-07 13:45:00.000,5.28,5.3,5.28,5.28
230,000010,SZSE,2017-07-07 13:50:00.000,5.28,5.29,5.27,5.27
231,000010,SZSE,2017-07-07 13:55:00.000,5.26,5.28,5.25,5.27
232,000010,SZSE,2017-07-07 14:00:00.000,5.28,5.29,5.27,5.28
233,000010,SZSE,2017-07-07 14:05:00.000,5.28,5.29,5.28,5.28
234,000010,SZSE,2017-07-07 14:10:00.000,5.28,5.29,5.27,5.27
235,000010,SZSE,2017-07-07 14:15:00.000,5.27,5.29,5.27,5.27
236,000010,SZSE,2017-07-07 14:20:00.000,5.27,5.29,5.27,5.28
237,000010,SZSE,2017-07-07 14:25:00.000,5.28,5.29,5.28,5.29
238,000010,SZSE,2017-07-07 14:30:00.000,5.29,5.29,5.28,5.29
239,000010,SZSE,2017-07-07 14:35:00.000,5.29,5.29,5.28,5.28
240,000010,SZSE,2017-07-07 14:40:00.000,5.29,5.29,5.28,5.29
241,000010,SZSE,2017-07-07 14:45:00.000,5.28,5.29,5.28,5.28
242,000010,SZSE,2017-07-07 14:50:00.000,5.28,5.28,5.27,5.27
243,000010,SZSE,2017-07-07 14:55:00.000,5.28,5.28,5.27,5.27
244,000010,SZSE,2017-07-07 15:00:00.000,5.27,5.28,5.26,5.28
245,000010,SZSE,2017-07-10 09:30:00.000,5.23,5.23,5.23,5.23
246,000010,SZSE,2017-07-10 09:35:00.000,5.23,5.23,5.2,5.21
247,000010,SZSE,2017-07-10 09:40:00.000,5.21,5.21,5.19,5.2
248,000010,SZSE,2017-07-10 09:45:00.000,5.19,5.21,5.18,5.18
249,000010,SZSE,2017-07-10 09:50:00.000,5.19,5.2,5.18,5.2
250,000010,SZSE,2017-07-10 09:55:00.000,5.19,5.21,5.19,5.2
251,000010,SZSE,2017-07-10 10:00:00.000,5.19,5.21,5.19,5.19
252,000010,SZSE,2017-07-10 10:05:00.000,5.19,5.21,5.19,5.21
253,000010,SZSE,2017-07-10 10:10:00.000,5.2,5.21,5.2,5.21
254,000010,SZSE,2017-07-10 10:15:00.000,5.21,5.22,5.21,5.21
255,000010,SZSE,2017-07-10 10:20:00.000,5.21,5.22,5.21,5.21
256,000010,SZSE,2017-07-10 10:25:00.000,5.21,5.22,5.21,5.21
257,000010,SZSE,2017-07-10 10:30:00.000,5.22,5.22,5.21,5.21
258,000010,SZSE,2017-07-10 10:35:00.000,5.22,5.22,5.21,5.21
259,000010,SZSE,2017-07-10 10:40:00.000,5.21,5.23,5.21,5.23
260,000010,SZSE,2017-07-10 10:45:00.000,5.23,5.23,5.22,5.22
261,000010,SZSE,2017-07-10 10:50:00.000,5.22,5.23,5.22,5.22
262,000010,SZSE,2017-07-10 10:55:00.000,5.22,5.22,5.21,5.22
263,000010,SZSE,2017-07-10 11:00:00.000,5.22,5.23,5.21,5.21
264,000010,SZSE,2017-07-10 11:05:00.000,5.21,5.22,5.21,5.21
265,000010,SZSE,2017-07-10 11:10:00.000,5.21,5.21,5.19,5.19
266,000010,SZSE,2017-07-10 11:15:00.000,5.19,5.2,5.19,5.19
267,000010,SZSE,2017-07-10 11:20:00.000,5.19,5.2,5.19,5.19
268,000010,SZSE,2017-07-10 11:25:00.000,5.19,5.2,5.19,5.2
269,000010,SZSE,2017-07-10 11:30:00.000,5.2,5.21,5.19,5.21
270,000010,SZSE,2017-07-10 13:05:00.000,5.21,5.22,5.21,5.21
271,000010,SZSE,2017-07-10 13:10:00.000,5.21,5.22,5.21,5.22
272,000010,SZSE,2017-07-10 13:15:00.000,5.21,5.23,5.21,5.22
273,000010,SZSE,2017-07-10 13:20:00.000,5.22,5.25,5.22,5.24
274,000010,SZSE,2017-07-10 13:25:00.000,5.25,5.25,5.23,5.24
275,000010,SZSE,2017-07-10 13:30:00.000,5.24,5.25,5.24,5.24
276,000010,SZSE,2017-07-10 13:35:00.000,5.24,5.24,5.22,5.22
277,000010,SZSE,2017-07-10 13:40:00.000,5.23,5.24,5.22,5.23
278,000010,SZSE,2017-07-10 13:45:00.000,5.23,5.24,5.23,5.23
279,000010,SZSE,2017-07-10 13:50:00.000,5.23,5.23,5.22,5.22
280,000010,SZSE,2017-07-10 13:55:00.000,5.22,5.24,5.22,5.23
281,000010,SZSE,2017-07-10 14:00:00.000,5.23,5.24,5.23,5.23
282,000010,SZSE,2017-07-10 14:05:00.000,5.23,5.24,5.23,5.23
283,000010,SZSE,2017-07-10 14:10:00.000,5.23,5.24,5.23,5.24
284,000010,SZSE,2017-07-10 14:15:00.000,5.24,5.24,5.23,5.24
285,000010,SZSE,2017-07-10 14:20:00.000,5.24,5.27,5.23,5.27
286,000010,SZSE,2017-07-10 14:25:00.000,5.27,5.27,5.25,5.25
287,000010,SZSE,2017-07-10 14:30:00.000,5.25,5.27,5.25,5.27
288,000010,SZSE,2017-07-10 14:35:00.000,5.26,5.27,5.24,5.24
289,000010,SZSE,2017-07-10 14:40:00.000,5.24,5.24,5.23,5.23
290,000010,SZSE,2017-07-10 14:45:00.000,5.23,5.25,5.23,5.23
291,000010,SZSE,2017-07-10 14:50:00.000,5.23,5.24,5.22,5.22
292,000010,SZSE,2017-07-10 14:55:00.000,5.23,5.24,5.21,5.22
293,000010,SZSE,2017-07-10 15:00:00.000,5.21,5.23,5.21,5.22
294,000010,SZSE,2017-07-11 09:30:00.000,5.22,5.22,5.22,5.22
295,000010,SZSE,2017-07-11 09:35:00.000,5.2,5.21,5.19,5.19
296,000010,SZSE,2017-07-11 09:40:00.000,5.2,5.21,5.19,5.21
297,000010,SZSE,2017-07-11 09:45:00.000,5.21,5.22,5.2,5.21
298,000010,SZSE,2017-07-11 09:50:00.000,5.21,5.22,5.2,5.21
299,000010,SZSE,2017-07-11 09:55:00.000,5.21,5.21,5.19,5.2
300,000010,SZSE,2017-07-11 10:00:00.000,5.2,5.2,5.19,5.19
301,000010,SZSE,2017-07-11 10:05:00.000,5.19,5.19,5.18,5.18
302,000010,SZSE,2017-07-11 10:10:00.000,5.19,5.2,5.18,5.19
303,000010,SZSE,2017-07-11 10:15:00.000,5.19,5.2,5.19,5.19
304,000010,SZSE,2017-07-11 10:20:00.000,5.19,5.2,5.18,5.19
305,000010,SZSE,2017-07-11 10:25:00.000,5.19,5.21,5.18,5.19
306,000010,SZSE,2017-07-11 10:30:00.000,5.19,5.21,5.19,5.21
307,000010,SZSE,2017-07-11 10:35:00.000,5.21,5.21,5.2,5.2
308,000010,SZSE,2017-07-11 10:40:00.000,5.2,5.21,5.2,5.2
309,000010,SZSE,2017-07-11 10:45:00.000,5.2,5.2,5.19,5.19
310,000010,SZSE,2017-07-11 10:50:00.000,5.19,5.19,5.18,5.19
311,000010,SZSE,2017-07-11 10:55:00.000,5.18,5.19,5.18,5.19
312,000010,SZSE,2017-07-11 11:00:00.000,5.18,5.19,5.18,5.18
313,000010,SZSE,2017-07-11 11:05:00.000,5.18,5.19,5.18,5.18
314,000010,SZSE,2017-07-11 11:10:00.000,5.19,5.19,5.18,5.18
315,000010,SZSE,2017-07-11 11:15:00.000,5.18,5.19,5.17,5.18
316,000010,SZSE,2017-07-11 11:20:00.000,5.18,5.18,5.17,5.18
317,000010,SZSE,2017-07-11 11:25:00.000,5.18,5.19,5.18,5.19
318,000010,SZSE,2017-07-11 11:30:00.000,5.19,5.2,5.19,5.2
319,000010,SZSE,2017-07-11 13:05:00.000,5.2,5.2,5.19,5.19
320,000010,SZSE,2017-07-11 13:10:00.000,5.2,5.2,5.19,5.2
321,000010,SZSE,2017-07-11 13:15:00.000,5.2,5.2,5.19,5.19
322,000010,SZSE,2017-07-11 13:20:00.000,5.19,5.2,5.19,5.2
323,000010,SZSE,2017-07-11 13:25:00.000,5.19,5.2,5.19,5.2
324,000010,SZSE,2017-07-11 13:30:00.000,5.2,5.2,5.19,5.19
325,000010,SZSE,2017-07-11 13:35:00.000,5.19,5.2,5.19,5.19
326,000010,SZSE,2017-07-11 13:40:00.000,5.19,5.19,5.19,5.19
327,000010,SZSE,2017-07-11 13:45:00.000,5.2,5.2,5.19,5.19
328,000010,SZSE,2017-07-11 13:50:00.000,5.2,5.2,5.19,5.19
329,000010,SZSE,2017-07-11 13:55:00.000,5.19,5.2,5.18,5.2
330,000010,SZSE,2017-07-11 14:00:00.000,5.2,5.2,5.19,5.19
331,000010,SZSE,2017-07-11 14:05:00.000,5.19,5.21,5.19,5.21
332,000010,SZSE,2017-07-11 14:10:00.000,5.2,5.2,5.19,5.19
333,000010,SZSE,2017-07-11 14:15:00.000,5.19,5.2,5.19,5.19
334,000010,SZSE,2017-07-11 14:20:00.000,5.19,5.2,5.19,5.2
335,000010,SZSE,2017-07-11 14:25:00.000,5.2,5.2,5.19,5.19
336,000010,SZSE,2017-07-11 14:30:00.000,5.19,5.19,5.18,5.19
337,000010,SZSE,2017-07-11 14:35:00.000,5.19,5.2,5.18,5.19
338,000010,SZSE,2017-07-11 14:40:00.000,5.2,5.2,5.17,5.17
339,000010,SZSE,2017-07-11 14:45:00.000,5.17,5.19,5.17,5.18
